name,remoteURL
chennaione/sugar,https://github.com/chennaione/sugar
chrisbanes/philm,https://github.com/chrisbanes/philm
cjlin1/libsvm,https://github.com/cjlin1/libsvm
claritylab/lucida,https://github.com/claritylab/lucida
code4craft/webmagic,https://github.com/code4craft/webmagic
coderbruis/JavaSourceCodeLearning,https://github.com/coderbruis/JavaSourceCodeLearning
confluentinc/kafka-rest,https://github.com/confluentinc/kafka-rest
confluentinc/schema-registry,https://github.com/confluentinc/schema-registry
crate/crate,https://github.com/crate/crate
cskefu/cskefu,https://github.com/cskefu/cskefu
cyrilmottier/GreenDroid,https://github.com/cyrilmottier/GreenDroid
daimajia/AndroidImageSlider,https://github.com/daimajia/AndroidImageSlider
daimajia/AnimationEasingFunctions,https://github.com/daimajia/AnimationEasingFunctions
deathmarine/Luyten,https://github.com/deathmarine/Luyten
decaywood/XueQiuSuperSpider,https://github.com/decaywood/XueQiuSuperSpider
dersoncheng/MultipleTheme,https://github.com/dersoncheng/MultipleTheme
detro/ghostdriver,https://github.com/detro/ghostdriver
didi/KnowStreaming,https://github.com/didi/KnowStreaming
didi/tinyid,https://github.com/didi/tinyid
dm77/barcodescanner,https://github.com/dm77/barcodescanner
dmilicic/Android-Clean-Boilerplate,https://github.com/dmilicic/Android-Clean-Boilerplate
doggycoder/AndroidOpenGLDemo,https://github.com/doggycoder/AndroidOpenGLDemo
doublechaintech/scm-biz-suite,https://github.com/doublechaintech/scm-biz-suite
drewnoakes/metadata-extractor,https://github.com/drewnoakes/metadata-extractor
dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning
eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x
eclipsesource/J2V8,https://github.com/eclipsesource/J2V8
eirslett/frontend-maven-plugin,https://github.com/eirslett/frontend-maven-plugin
elastic/elasticsearch-hadoop,https://github.com/elastic/elasticsearch-hadoop
elastic/logstash,https://github.com/elastic/logstash
elye/loaderviewlibrary,https://github.com/elye/loaderviewlibrary
emilsjolander/StickyListHeaders,https://github.com/emilsjolander/StickyListHeaders
erupts/erupt,https://github.com/erupts/erupt
esoxjem/MovieGuide,https://github.com/esoxjem/MovieGuide
ethanhua/Skeleton,https://github.com/ethanhua/Skeleton
eugenp/tutorials,https://github.com/eugenp/tutorials
evernote/android-job,https://github.com/evernote/android-job
evollu/react-native-fcm,https://github.com/evollu/react-native-fcm
facebook/stetho,https://github.com/facebook/stetho
facebookarchive/device-year-class,https://github.com/facebookarchive/device-year-class
fanrunqi/MaterialLogin,https://github.com/fanrunqi/MaterialLogin
ffay/lanproxy,https://github.com/ffay/lanproxy
firebase/FirebaseUI-Android,https://github.com/firebase/FirebaseUI-Android
firebase/firebase-android-sdk,https://github.com/firebase/firebase-android-sdk
flavienlaurent/NotBoringActionBar,https://github.com/flavienlaurent/NotBoringActionBar
flavienlaurent/datetimepicker,https://github.com/flavienlaurent/datetimepicker
florent37/ExpectAnim,https://github.com/florent37/ExpectAnim
flyingsaucerproject/flyingsaucer,https://github.com/flyingsaucerproject/flyingsaucer
fossasia/open-event-droidgen,https://github.com/fossasia/open-event-droidgen
fossasia/phimpme-android,https://github.com/fossasia/phimpme-android
friendlyrobotnyc/TinyDancer,https://github.com/friendlyrobotnyc/TinyDancer
frogermcs/InstaMaterial,https://github.com/frogermcs/InstaMaterial
frogermcs/LikeAnimation,https://github.com/frogermcs/LikeAnimation
fuzhengwei/itstack-demo-design,https://github.com/fuzhengwei/itstack-demo-design
geometer/FBReaderJ,https://github.com/geometer/FBReaderJ
getActivity/AndroidProject,https://github.com/getActivity/AndroidProject
getActivity/ToastUtils,https://github.com/getActivity/ToastUtils
getActivity/XXPermissions,https://github.com/getActivity/XXPermissions
gitblit/gitblit,https://github.com/gitblit/gitblit
githubwing/ZoomHeader,https://github.com/githubwing/ZoomHeader
glomadrian/Grav,https://github.com/glomadrian/Grav
go-lang-plugin-org/go-lang-idea-plugin,https://github.com/go-lang-plugin-org/go-lang-idea-plugin
gongwen/MarqueeViewLibrary,https://github.com/gongwen/MarqueeViewLibrary
google/closure-compiler,https://github.com/google/closure-compiler
google/google-authenticator,https://github.com/google/google-authenticator
google/google-java-format,https://github.com/google/google-java-format
google/grafika,https://github.com/google/grafika
google/physical-web,https://github.com/google/physical-web
google/santa-tracker-android,https://github.com/google/santa-tracker-android
googlearchive/tiger,https://github.com/googlearchive/tiger
googlemaps/android-maps-utils,https://github.com/googlemaps/android-maps-utils
googlemaps/android-samples,https://github.com/googlemaps/android-samples
grantland/android-autofittextview,https://github.com/grantland/android-autofittextview
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper
gre/gl-react-native-v2,https://github.com/gre/gl-react-native-v2
grishka/Houseclub,https://github.com/grishka/Houseclub
gsantner/markor,https://github.com/gsantner/markor
guardianproject/haven,https://github.com/guardianproject/haven
h2pl/Java-Tutorial,https://github.com/h2pl/Java-Tutorial
h6ah4i/android-advancedrecyclerview,https://github.com/h6ah4i/android-advancedrecyclerview
hansonwang99/Spring-Boot-In-Action,https://github.com/hansonwang99/Spring-Boot-In-Action
harjot-oberai/MaterialShadows,https://github.com/harjot-oberai/MaterialShadows
harjot-oberai/MusicDNA,https://github.com/harjot-oberai/MusicDNA
hazelcast/hazelcast,https://github.com/hazelcast/hazelcast
hefuyicoder/ListenerMusicPlayer,https://github.com/hefuyicoder/ListenerMusicPlayer
heibaiying/BigData-Notes,https://github.com/heibaiying/BigData-Notes
hneemann/Digital,https://github.com/hneemann/Digital
hongyangAndroid/FlowLayout,https://github.com/hongyangAndroid/FlowLayout
iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool
iNPUTmice/Conversations,https://github.com/iNPUTmice/Conversations
iPaulPro/Android-ItemTouchHelper-Demo,https://github.com/iPaulPro/Android-ItemTouchHelper-Demo
iPaulPro/aFileChooser,https://github.com/iPaulPro/aFileChooser
iReaderAndroid/X2C,https://github.com/iReaderAndroid/X2C
igreenwood/SimpleCropView,https://github.com/igreenwood/SimpleCropView
iiordanov/remote-desktop-clients,https://github.com/iiordanov/remote-desktop-clients
iqiyi/Andromeda,https://github.com/iqiyi/Andromeda
isl-org/MiDaS,https://github.com/isl-org/MiDaS
isl-org/OpenBot,https://github.com/isl-org/OpenBot
iterate-ch/cyberduck,https://github.com/iterate-ch/cyberduck
jOOQ/jOOL,https://github.com/jOOQ/jOOL
jacoco/jacoco,https://github.com/jacoco/jacoco
janishar/PlaceHolderView,https://github.com/janishar/PlaceHolderView
janishar/mit-deep-learning-book-pdf,https://github.com/janishar/mit-deep-learning-book-pdf
jankotek/mapdb,https://github.com/jankotek/mapdb
javamelody/javamelody,https://github.com/javamelody/javamelody
javaparser/javaparser,https://github.com/javaparser/javaparser
javastacks/spring-boot-best-practice,https://github.com/javastacks/spring-boot-best-practice
jaydenxiao2016/AndroidFire,https://github.com/jaydenxiao2016/AndroidFire
jdbi/jdbi,https://github.com/jdbi/jdbi
jdsjlzx/LRecyclerView,https://github.com/jdsjlzx/LRecyclerView
