name,url
darkk/redsocks,https://github.com/darkk/redsocks
darktable-org/darktable,https://github.com/darktable-org/darktable
darlinghq/darling,https://github.com/darlinghq/darling
deepmind/lab,https://github.com/deepmind/lab
deepmind/mujoco,https://github.com/deepmind/mujoco
dekuNukem/Nintendo_Switch_Reverse_Engineering,https://github.com/dekuNukem/Nintendo_Switch_Reverse_Engineering
dekuNukem/daytripper,https://github.com/dekuNukem/daytripper
dokan-dev/dokany,https://github.com/dokan-dev/dokany
dunst-project/dunst,https://github.com/dunst-project/dunst
dvorka/hstr,https://github.com/dvorka/hstr
easychen/pushdeer,https://github.com/easychen/pushdeer
eclipse/mosquitto,https://github.com/eclipse/mosquitto
edenhill/kcat,https://github.com/edenhill/kcat
edenhill/librdkafka,https://github.com/edenhill/librdkafka
ehids/ecapture,https://github.com/ehids/ecapture
emojicode/emojicode,https://github.com/emojicode/emojicode
emscripten-core/emscripten,https://github.com/emscripten-core/emscripten
esnet/iperf,https://github.com/esnet/iperf
espressif/ESP8266_RTOS_SDK,https://github.com/espressif/ESP8266_RTOS_SDK
espressif/arduino-esp32,https://github.com/espressif/arduino-esp32
espressif/esp-idf,https://github.com/espressif/esp-idf
facebook/fishhook,https://github.com/facebook/fishhook
facebookincubator/katran,https://github.com/facebookincubator/katran
fairyglade/ly,https://github.com/fairyglade/ly
fastos/fastsocket,https://github.com/fastos/fastsocket
firmianay/CTF-All-In-One,https://github.com/firmianay/CTF-All-In-One
flatpak/flatpak,https://github.com/flatpak/flatpak
flightlessmango/MangoHud,https://github.com/flightlessmango/MangoHud
flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware
floooh/sokol,https://github.com/floooh/sokol
fluent/fluent-bit,https://github.com/fluent/fluent-bit
fontforge/fontforge,https://github.com/fontforge/fontforge
fragglet/c-algorithms,https://github.com/fragglet/c-algorithms
freebsd/freebsd-src,https://github.com/freebsd/freebsd-src
fulldecent/system-bus-radio,https://github.com/fulldecent/system-bus-radio
gali8/Tesseract-OCR-iOS,https://github.com/gali8/Tesseract-OCR-iOS
gcc-mirror/gcc,https://github.com/gcc-mirror/gcc
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz
geohot/qira,https://github.com/geohot/qira
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher
giltene/wrk2,https://github.com/giltene/wrk2
git/git,https://github.com/git/git
glfw/glfw,https://github.com/glfw/glfw
gluster/glusterfs,https://github.com/gluster/glusterfs
gnea/grbl,https://github.com/gnea/grbl
gnif/LookingGlass,https://github.com/gnif/LookingGlass
