name,remoteURL
davisking/dlib,https://github.com/davisking/dlib
deepmind/open_spiel,https://github.com/deepmind/open_spiel
dfranx/SHADERed,https://github.com/dfranx/SHADERed
diasurgical/devilution,https://github.com/diasurgical/devilution
diasurgical/devilutionX,https://github.com/diasurgical/devilutionX
dmlc/xgboost,https://github.com/dmlc/xgboost
dogecoin/dogecoin,https://github.com/dogecoin/dogecoin
doitsujin/dxvk,https://github.com/doitsujin/dxvk
dolphin-emu/dolphin,https://github.com/dolphin-emu/dolphin
domoticz/domoticz,https://github.com/domoticz/domoticz
doxygen/doxygen,https://github.com/doxygen/doxygen
drogonframework/drogon,https://github.com/drogonframework/drogon
dropbox/djinni,https://github.com/dropbox/djinni
dropbox/lepton,https://github.com/dropbox/lepton
duilib/duilib,https://github.com/duilib/duilib
dusty-nv/jetson-inference,https://github.com/dusty-nv/jetson-inference
e-maxx-eng/e-maxx-eng,https://github.com/e-maxx-eng/e-maxx-eng
electron/electron,https://github.com/electron/electron
electronicarts/CnC_Remastered_Collection,https://github.com/electronicarts/CnC_Remastered_Collection
emcrisostomo/fswatch,https://github.com/emcrisostomo/fswatch
envoyproxy/envoy,https://github.com/envoyproxy/envoy
epezent/implot,https://github.com/epezent/implot
ericniebler/range-v3,https://github.com/ericniebler/range-v3
erincatto/box2d,https://github.com/erincatto/box2d
esp8266/Arduino,https://github.com/esp8266/Arduino
esphome/esphome,https://github.com/esphome/esphome
ethereum-mining/ethminer,https://github.com/ethereum-mining/ethminer
ethereum/solidity,https://github.com/ethereum/solidity
ethz-asl/kalibr,https://github.com/ethz-asl/kalibr
facebook/folly,https://github.com/facebook/folly
facebook/hhvm,https://github.com/facebook/hhvm
facebook/mcrouter,https://github.com/facebook/mcrouter
facebook/redex,https://github.com/facebook/redex
facebook/rocksdb,https://github.com/facebook/rocksdb
facebook/wangle,https://github.com/facebook/wangle
facebook/watchman,https://github.com/facebook/watchman
facebook/wdt,https://github.com/facebook/wdt
facebook/yoga,https://github.com/facebook/yoga
facebookarchive/beringei,https://github.com/facebookarchive/beringei
facebookarchive/conceal,https://github.com/facebookarchive/conceal
facebookarchive/webscalesql-5.6,https://github.com/facebookarchive/webscalesql-5.6
facebookresearch/StarSpace,https://github.com/facebookresearch/StarSpace
facebookresearch/faiss,https://github.com/facebookresearch/faiss
facontidavide/PlotJuggler,https://github.com/facontidavide/PlotJuggler
falcosecurity/falco,https://github.com/falcosecurity/falco
fanout/pushpin,https://github.com/fanout/pushpin
feiyangqingyun/QWidgetDemo,https://github.com/feiyangqingyun/QWidgetDemo
fibjs/fibjs,https://github.com/fibjs/fibjs
filecxx/FileCentipede,https://github.com/filecxx/FileCentipede
fish-shell/fish-shell,https://github.com/fish-shell/fish-shell
flashlight/flashlight,https://github.com/flashlight/flashlight
flashlight/wav2letter,https://github.com/flashlight/wav2letter
flutter-webrtc/flutter-webrtc,https://github.com/flutter-webrtc/flutter-webrtc
flutter/engine,https://github.com/flutter/engine
fritzing/fritzing-app,https://github.com/fritzing/fritzing-app
gameplay3d/gameplay,https://github.com/gameplay3d/gameplay
gaoxiang12/slambook,https://github.com/gaoxiang12/slambook
gaoxiang12/slambook2,https://github.com/gaoxiang12/slambook2
gatieme/CodingInterviews,https://github.com/gatieme/CodingInterviews
